Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2006-08-28,38.569403790069785,38.74700781610167,38.52500490075198,38.6212043762207,8147700,0.0,0.0
2006-08-29,38.68042418451104,38.76922482630062,38.47322174602819,38.69522476196289,16074400,0.0,0.0
2006-08-30,38.79246644284984,38.93458976070659,38.620421525397745,38.67278289794922,12362200,0.56,0.0
2006-08-31,38.76254308747085,38.82238628395091,38.500736236572266,38.500736236572266,10533100,0.0,0.0
2006-09-01,38.77002195397206,38.777500926220775,38.373567941259616,38.64285659790039,9775300,0.0,0.0
2006-09-05,38.61294222632867,38.81490875659668,38.515701301499654,38.71018600463867,8992800,0.0,0.0
2006-09-06,38.52317522687662,38.829864468912525,38.46333203161078,38.635379791259766,10342800,0.0,0.0
2006-09-07,38.627902498904106,38.79994742526556,38.47081837311507,38.53065872192383,9487400,0.0,0.0
2006-09-08,38.44837193114897,38.75506115599419,38.298766804850715,38.64285659790039,10082700,0.0,0.0
2006-09-11,38.223958846771794,38.37356395753891,37.99955260736118,38.2838020324707,13728000,0.0,0.0
2006-09-12,38.366093635798826,38.78498461621061,38.366093635798826,38.67278289794922,13893100,0.0,0.0
2006-09-13,38.672782552154224,38.85978826773187,38.508216609332045,38.8223876953125,8985200,0.0,0.0
2006-09-14,38.59796926043597,38.88221867864866,38.56805052179259,38.844818115234375,8290500,0.0,0.0
2006-09-15,38.89719083324924,38.89719083324924,38.47829698163804,38.48577880859375,15843600,0.0,0.0
2006-09-18,38.44089179953381,38.84482480229654,38.34364803513228,38.73262023925781,11259500,0.0,0.0
2006-09-19,38.807411212606844,38.964495265375106,38.530640810895584,38.919612884521484,14284600,0.0,0.0
2006-09-20,39.03182576616779,39.38339735775613,39.00190417252619,39.26371383666992,13629000,0.0,0.0
2006-09-21,39.36843432031887,39.41331385474678,38.979462185556606,39.07670593261719,9765700,0.0,0.0
2006-09-22,39.11410358343756,39.435753539128434,39.03182063847294,39.21882629394531,11521500,0.0,0.0
2006-09-25,39.435762703171044,39.77985250436429,39.2936365457578,39.62276840209961,13046100,0.0,0.0
2006-09-26,39.622759290200946,40.01921036764538,39.45071442916884,40.004249572753906,14145600,0.0,0.0
2006-09-27,39.869609455336914,40.17629864909027,39.7424469656373,39.824729919433594,11387100,0.0,0.0
2006-09-28,39.892052584831895,40.27354291226953,39.66016451695086,40.034175872802734,12219800,0.0,0.0
2006-09-29,40.079056989623204,40.393225148888554,39.966852445039805,40.07157516479492,10701400,0.0,0.0
2006-10-02,40.041656111162,40.15386066285939,39.869611224444874,40.108978271484375,7378600,0.0,0.0
2006-10-03,40.116478820296074,40.819619492465435,40.07159640797315,40.69993591308594,13591200,0.0,0.0
2006-10-04,40.61015591003116,41.029046825120915,40.50543318125872,41.00660705566406,12570700,0.0,0.0
2006-10-05,40.81211381886592,41.043998997136676,40.59518658143605,40.78219223022461,8653700,0.0,0.0
2006-10-06,40.65504547647135,40.74481028339986,40.47552156957644,40.5727653503418,8968900,0.0,0.0
2006-10-09,40.45308343171259,40.797173311753944,40.430640802331695,40.77473068237305,5886000,0.0,0.0
2006-10-10,40.80465111840184,40.87945512506262,40.602684580639355,40.86449432373047,10630800,0.0,0.0
2006-10-11,40.55779342888108,40.55779342888108,40.13142070005903,40.42314910888672,12485000,0.0,0.0
